friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_topmostsubform_0_page1_0_lines18_27_0_f1_35_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_35[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_36_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_36[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_37_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_37[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_38_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_38[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_40_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_40[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_39_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_39[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_41_0,topmostSubform[0].Page1[0].f1_41[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_42_0,topmostSubform[0].Page1[0].f1_42[0],1,Text,,,,
p1_simplified_method_filers_only_enter_the_total_square_footage_of_a_your_home,topmostSubform[0].Page1[0].Line30_ReadOrder[0].f1_43[0],1,Text,Simplified method filers only: Enter the total square footage of (a) your home:,,,
p1_and_b_the_part_of_your_home_used_for_business,topmostSubform[0].Page1[0].Line30_ReadOrder[0].f1_44[0],1,Text,and (b) the part of your home used for business:,,,
p1_topmostsubform_0_page1_0_f1_45_0,topmostSubform[0].Page1[0].f1_45[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_46_0,topmostSubform[0].Page1[0].f1_46[0],1,Text,,,,
all_investment_is_at_risk,topmostSubform[0].Page1[0].c1_7[0],1,Button,All investment is at risk.,1,,
some_investment_is_not_at_risk,topmostSubform[0].Page1[0].c1_7[1],1,Button,Some investment is not at risk.,2,,
cost,topmostSubform[0].Page2[0].c2_1[0],2,Button,Cost,1,,
lower_of_cost_or_market,topmostSubform[0].Page2[0].c2_2[0],2,Button,Lower of cost or market,1,,
other_attach_explanation,topmostSubform[0].Page2[0].c2_3[0],2,Button,Other (attach explanation),1,,
p2_topmostsubform_0_page2_0_c2_4_0_yes,topmostSubform[0].Page2[0].c2_4[0],2,Button,Yes,1,,
p2_topmostsubform_0_page2_0_c2_4_1_no,topmostSubform[0].Page2[0].c2_4[1],2,Button,No,2,,
p2_topmostsubform_0_page2_0_f2_1_0,topmostSubform[0].Page2[0].f2_1[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_2_0,topmostSubform[0].Page2[0].f2_2[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_3_0,topmostSubform[0].Page2[0].f2_3[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_4_0,topmostSubform[0].Page2[0].f2_4[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_5_0,topmostSubform[0].Page2[0].f2_5[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_6_0,topmostSubform[0].Page2[0].f2_6[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_7_0,topmostSubform[0].Page2[0].f2_7[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_8_0,topmostSubform[0].Page2[0].f2_8[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_9_0,topmostSubform[0].Page2[0].f2_9[0],2,Text,,,2,
p2_topmostsubform_0_page2_0_f2_10_0,topmostSubform[0].Page2[0].f2_10[0],2,Text,/,,2,
p2_topmostsubform_0_page2_0_f2_11_0,topmostSubform[0].Page2[0].f2_11[0],2,Text,/,,4,
p2_business,topmostSubform[0].Page2[0].f2_12[0],2,Text,Business,,,
p2_b_commuting,topmostSubform[0].Page2[0].f2_13[0],2,Text,b Commuting (see instructions),,,
p2_c_other,topmostSubform[0].Page2[0].f2_14[0],2,Text,c Other,,,
p2_topmostsubform_0_page2_0_c2_5_0_yes,topmostSubform[0].Page2[0].c2_5[0],2,Button,Yes,1,,
p2_topmostsubform_0_page2_0_c2_5_1_no,topmostSubform[0].Page2[0].c2_5[1],2,Button,No,2,,
p2_topmostsubform_0_page2_0_c2_6_0_yes,topmostSubform[0].Page2[0].c2_6[0],2,Button,Yes,1,,
p2_topmostsubform_0_page2_0_c2_6_1_no,topmostSubform[0].Page2[0].c2_6[1],2,Button,No,2,,
p2_topmostsubform_0_page2_0_c2_7_0_yes,topmostSubform[0].Page2[0].c2_7[0],2,Button,Yes,1,,
p2_topmostsubform_0_page2_0_c2_7_1_no,topmostSubform[0].Page2[0].c2_7[1],2,Button,No,2,,
p2_topmostsubform_0_page2_0_c2_8_0_yes,topmostSubform[0].Page2[0].c2_8[0],2,Button,Yes,1,,
p2_topmostsubform_0_page2_0_c2_8_1_no,topmostSubform[0].Page2[0].c2_8[1],2,Button,No,2,,
p2_topmostsubform_0_page2_0_partvtable_0_item1_0_f2_15_0,topmostSubform[0].Page2[0].PartVTable[0].Item1[0].f2_15[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item1_0_f2_16_0,topmostSubform[0].Page2[0].PartVTable[0].Item1[0].f2_16[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item2_0_f2_17_0,topmostSubform[0].Page2[0].PartVTable[0].Item2[0].f2_17[0],2,Text,,,,
