friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
taxpayer_tin,topmostSubform[0].Page2[0].f2_1[0],2,Text,"U.S. taxpayer identification number (TIN), if required",,11,
p2_topmostsubform_0_page2_0_line9a_readorder_0_f2_2_0,topmostSubform[0].Page2[0].Line9a_ReadOrder[0].f2_2[0],2,Text,,,,
p2_topmostsubform_0_page2_0_line9b_readorder_0_f2_3_0,topmostSubform[0].Page2[0].Line9b_ReadOrder[0].f2_3[0],2,Text,,,,
check_if_ftin_not_legally_required,topmostSubform[0].Page2[0].c2_1[0],2,Button,Check if FTIN not legally required ▶,1,,
p2_reference_number_s,topmostSubform[0].Page2[0].f2_4[0],2,Text,Reference number(s) (see instructions),,19,
branch_treated_as_nonparticipating_ffi,topmostSubform[0].Page2[0].CheckboxesCol1_ReadOrder[0].c2_2[0],2,Button,Branch treated as nonparticipating FFI.,1,,
participating_ffi_2,topmostSubform[0].Page2[0].CheckboxesCol1_ReadOrder[0].c2_2[1],2,Button,Participating FFI.,2,,
reporting_model_1_ffi_2,topmostSubform[0].Page2[0].CheckboxesCol2_ReadOrder[0].c2_2[0],2,Button,Reporting Model 1 FFI.,3,,
reporting_model_2_ffi_2,topmostSubform[0].Page2[0].CheckboxesCol2_ReadOrder[0].c2_2[1],2,Button,Reporting Model 2 FFI.,4,,
u_s_branch,topmostSubform[0].Page2[0].c2_2[0],2,Button,U.S. Branch.,5,,
p2_12_address_of_disregarded_entity_or_branch_street_apt_or_suite_no_or_rural_route_do_not_use_a_p_o_box_or_in_care_of_address_other_than_a_registered_address,topmostSubform[0].Page2[0].f2_5[0],2,Text,"12 Address of disregarded entity or branch (street, apt. or suite no., or rural route). Do not use a P.O. box or in-care-of address (other than a registered address).",,,
permanent_residence_city_state_postal_3,topmostSubform[0].Page2[0].f2_6[0],2,Text,"City or town, state or province. Include postal code where appropriate.",,,
taxpayer_country_3,topmostSubform[0].Page2[0].f2_7[0],2,Text,Country,,,
p2_giin,topmostSubform[0].Page2[0].f2_8[0],2,Text,GIIN (if any),,,
p2_topmostsubform_0_page2_0_c2_3_0,topmostSubform[0].Page2[0].c2_3[0],2,Button,,1,,
p2_the_beneficial_owner_is_a_resident_of,topmostSubform[0].Page2[0].f2_9[0],2,Text,The beneficial owner is a resident of,,,
p2_topmostsubform_0_page2_0_c2_4_0,topmostSubform[0].Page2[0].c2_4[0],2,Button,,1,,
government,topmostSubform[0].Page2[0].CheckboxesLine14b_ReadOrder[0].c2_5[0],2,Button,Government,1,,
tax_exempt_pension_trust_or_pension_fund,topmostSubform[0].Page2[0].CheckboxesLine14b_ReadOrder[0].c2_5[1],2,Button,Tax-exempt pension trust or pension fund,2,,
other_tax_exempt_organization,topmostSubform[0].Page2[0].CheckboxesLine14b_ReadOrder[0].c2_5[2],2,Button,Other tax-exempt organization,3,,
publicly_traded_corporation,topmostSubform[0].Page2[0].CheckboxesLine14b_ReadOrder[0].c2_5[3],2,Button,Publicly traded corporation,4,,
subsidiary_of_a_publicly_traded_corporation,topmostSubform[0].Page2[0].CheckboxesLine14b_ReadOrder[0].c2_5[4],2,Button,Subsidiary of a publicly traded corporation,5,,
company_that_meets_the_ownership_and_base_erosion_test,topmostSubform[0].Page2[0].c2_5[0],2,Button,Company that meets the ownership and base erosion test,6,,
company_that_meets_the_derivative_benefits_test,topmostSubform[0].Page2[0].c2_5[1],2,Button,Company that meets the derivative benefits test,7,,
company_with_an_item_of_income_that_meets_active_trade_or_business_test,topmostSubform[0].Page2[0].c2_5[2],2,Button,Company with an item of income that meets active trade or business test,8,,
favorable_discretionary_determination_by_the_u_s_competent_authority_received,topmostSubform[0].Page2[0].c2_5[3],2,Button,Favorable discretionary determination by the U.S. competent authority received,9,,
no_lob_article_in_treaty,topmostSubform[0].Page2[0].c2_5[4],2,Button,No LOB article in treaty,10,,
other_specify_article_and_paragraph,topmostSubform[0].Page2[0].c2_5[5],2,Button,Other (specify Article and paragraph):,11,,
p2_topmostsubform_0_page2_0_f2_10_0,topmostSubform[0].Page2[0].f2_10[0],2,Text,,,,
p2_topmostsubform_0_page2_0_c2_6_0,topmostSubform[0].Page2[0].c2_6[0],2,Button,,1,,
p2_the_beneficial_owner_is_claiming_the_provisions_of_article_and_paragraph,topmostSubform[0].Page2[0].f2_11[0],2,Text,The beneficial owner is claiming the provisions of Article and paragraph,,,
p2_of_the_treaty_identified_on_line_14a_above_to_claim_a,topmostSubform[0].Page2[0].f2_12[0],2,Text,of the treaty identified on line 14a above to claim a,,,
p2_topmostsubform_0_page2_0_f2_13_0,topmostSubform[0].Page2[0].f2_13[0],2,Text,,,,
p2_explain_the_additional_conditions_in_the_article_the_beneficial_owner_meets_to_be_eligible_for_the_rate_of_withholding,topmostSubform[0].Page2[0].f2_14[0],2,Text,Explain the additional conditions in the Article the beneficial owner meets to be eligible for the rate of withholding:,,,
p2_topmostsubform_0_page2_0_f2_15_0,topmostSubform[0].Page2[0].f2_15[0],2,Text,,,,
